filename,Best solution,Generations,Mutations,Elapsed Time
ga_size403_population20method0.csv,6383,29,8814,353721
Data
Elapsed time (ms),Generation,Mutations,Best solution0,0,0,2147483647
6006,1,318,7344
20355,2,626,7248
35950,3,932,7181
49818,4,1238,7046
62517,5,1546,7033
73755,6,1844,6946
83796,7,2144,6906
97146,8,2448,6906
111667,9,2752,6836
124747,10,3054,6805
137767,11,3358,6765
148817,12,3676,6708
161312,13,3970,6669
171307,14,4266,6632
183084,15,4560,6567
196891,16,4870,6477
210530,17,5184,6477
224139,18,5486,6477
238106,19,5802,6477
249423,20,6112,6477
260856,21,6402,6477
272839,22,6700,6463
280651,23,6994,6420
291854,24,7310,6420
299768,25,7622,6420
311984,26,7904,6420
325210,27,8204,6420
339418,28,8504,6383
353721,29,8814,6383
