filename,Best solution,Generations,Mutations,Elapsed Time
ga_size171_population20method0.csv,16188,47,14308,235845
Data
Elapsed time (ms),Generation,Mutations,Best solution0,0,0,2147483647
1609,1,316,24344
6900,2,590,23945
11095,3,884,23494
16361,4,1176,22935
21568,5,1478,22498
26202,6,1784,21926
30583,7,2110,21704
36575,8,2424,21660
42486,9,2724,21228
47020,10,3030,21157
51315,11,3332,21069
56969,12,3628,20851
62251,13,3928,20799
67333,14,4216,20182
72086,15,4538,20182
77327,16,4856,20036
82877,17,5144,19631
88223,18,5464,19561
94224,19,5776,19442
99331,20,6092,19425
104054,21,6416,19230
108769,22,6724,18951
113578,23,7036,18848
117904,24,7334,18832
121850,25,7622,18667
126059,26,7926,18667
130682,27,8236,17956
136826,28,8546,17956
142124,29,8840,17892
147649,30,9156,17892
153130,31,9454,17706
158382,32,9746,17706
163417,33,10052,17672
168725,34,10360,17570
173967,35,10664,17553
179190,36,10990,17268
184926,37,11284,17070
189365,38,11584,17070
194133,39,11882,17070
199040,40,12168,16908
204501,41,12478,16908
209728,42,12798,16859
215348,43,13092,16736
219873,44,13396,16736
224728,45,13696,16685
230306,46,13996,16498
235845,47,14308,16188
